Ano;Semestre;Campus;Unidade Acadêmica;Curso;Modalidade;Formato;Tipo Evasão;Alunos
2019;2;MARIANA;INSTITUTO DE CIENCIAS SOCIAIS APLICADAS;CIENCIAS ECONOMICAS-ECO;BACHARELADO;PRESENCIAL;NRM;9
2019;2;OURO PRETO;"ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA";DIREITO-DIR;BACHARELADO;PRESENCIAL;NRM;1
2019;2;OURO PRETO;ESCOLA DE EDUCACAO FISICA;EDUCACAO FISICA-EFB;BACHARELADO;PRESENCIAL;NRM;3
2019;2;OURO PRETO;ESCOLA DE EDUCACAO FISICA;EDUCACAO FISICA-EFL;LICENCIATURA;PRESENCIAL;NRM;3
2019;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA CIVIL-CIV;BACHARELADO;PRESENCIAL;NRM;2
2019;2;JOÃO MONLEVADE;INSTITUTO DE CIENCIAS EXATAS E APLICADAS;ENGENHARIA DE COMPUTACAO-CJM;BACHARELADO;PRESENCIAL;NRM;7
2019;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA DE CONTROLE E AUTOMACAO-AUT;BACHARELADO;PRESENCIAL;NRM;5
2019;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA DE MINAS-MIN;BACHARELADO;PRESENCIAL;NRM;3
2019;2;JOÃO MONLEVADE;INSTITUTO DE CIENCIAS EXATAS E APLICADAS;ENGENHARIA DE PRODUCAO-PJM;BACHARELADO;PRESENCIAL;NRM;4
2019;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA DE PRODUCAO-PRO;BACHARELADO;PRESENCIAL;NRM;2
2019;2;JOÃO MONLEVADE;INSTITUTO DE CIENCIAS EXATAS E APLICADAS;ENGENHARIA ELETRICA-EJM;BACHARELADO;PRESENCIAL;NRM;3
2019;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA MECANICA-MEC;BACHARELADO;PRESENCIAL;NRM;2
2019;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA METALURGICA-MET;BACHARELADO;PRESENCIAL;NRM;3
2019;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;ESTATISTICA-EST;BACHARELADO;PRESENCIAL;NRM;3
2019;2;OURO PRETO;ESCOLA DE FARMACIA;FARMACIA-FAR;BACHARELADO;PRESENCIAL;NRM;3
2019;2;OURO PRETO;"INSTITUTO DE FILOSOFIA, ARTES E CULTURA";FILOSOFIA-FLB;BACHARELADO;PRESENCIAL;NRM;2
2019;2;OURO PRETO;"INSTITUTO DE FILOSOFIA, ARTES E CULTURA";FILOSOFIA-FLL;LICENCIATURA;PRESENCIAL;NRM;2
2019;2;MARIANA;INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS;HISTORIA-HIB;BACHARELADO;PRESENCIAL;NRM;1
2019;2;MARIANA;INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS;HISTORIA-HIL;LICENCIATURA;PRESENCIAL;NRM;6
2019;2;MARIANA;INSTITUTO DE CIENCIAS SOCIAIS APLICADAS;JORNALISMO-JOR;BACHARELADO;PRESENCIAL;NRM;6
2019;2;MARIANA;INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS;LETRAS-LTB;BACHARELADO;PRESENCIAL;NRM;3
2019;2;MARIANA;INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS;LETRAS-LTL;LICENCIATURA;PRESENCIAL;NRM;4
2019;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;MATEMATICA-MTB;BACHARELADO;PRESENCIAL;NRM;1
2019;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;MATEMATICA-MTL;LICENCIATURA;PRESENCIAL;NRM;2
2019;2;OURO PRETO;"ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA";MUSEOLOGIA-MUL;BACHARELADO;PRESENCIAL;NRM;5
2019;2;OURO PRETO;"INSTITUTO DE FILOSOFIA, ARTES E CULTURA";MUSICA-MUS;LICENCIATURA;PRESENCIAL;NRM;3
2019;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;QUIMICA-QLI;LICENCIATURA;PRESENCIAL;NRM;2
2019;2;MARIANA;INSTITUTO DE CIENCIAS SOCIAIS APLICADAS;SERVICO SOCIAL-SER;BACHARELADO;PRESENCIAL;NRM;6
2019;2;JOÃO MONLEVADE;INSTITUTO DE CIENCIAS EXATAS E APLICADAS;SISTEMAS DE INFORMACAO-SJM;BACHARELADO;PRESENCIAL;NRM;4
2019;2;OURO PRETO;"ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA";TURISMO-TUR;BACHARELADO;PRESENCIAL;NRM;7
2019;2;OURO PRETO;ESCOLA DE MINAS;ARQUITETURA E URBANISMO-ARQ;BACHARELADO;PRESENCIAL;REOPÇÃO;1
2019;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;CIENCIA DA COMPUTACAO-COM;BACHARELADO;PRESENCIAL;REOPÇÃO;3
2019;2;OURO PRETO;ESCOLA DE NUTRICAO;CIENCIA E TECNOLOGIA DE ALIMENTOS-ALI;BACHARELADO;PRESENCIAL;REOPÇÃO;5
2019;2;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;CIENCIAS BIOLOGICAS-CBB;BACHARELADO;PRESENCIAL;REOPÇÃO;3
2019;2;MARIANA;INSTITUTO DE CIENCIAS SOCIAIS APLICADAS;CIENCIAS ECONOMICAS-ECO;BACHARELADO;PRESENCIAL;REOPÇÃO;1
2019;2;JOÃO MONLEVADE;INSTITUTO DE CIENCIAS EXATAS E APLICADAS;ENGENHARIA DE COMPUTACAO-CJM;BACHARELADO;PRESENCIAL;REOPÇÃO;3
2019;2;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA GEOLOGICA-GEO;BACHARELADO;PRESENCIAL;REOPÇÃO;3
