"ano";"semestre";"campus";"unidade_academica";"curso";"modalidade";"formato";"tipo_evasao";"evadidos"
2004;1;"MARIANA";"INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS";"HISTORIA-HIS";"";"PRESENCIAL";"TRANSFERENCIA";3
2004;1;"MARIANA";"INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS";"LETRAS-LET";"";"PRESENCIAL";"CANCELAMENTO";5
2004;1;"MARIANA";"INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS";"LETRAS-LET";"";"PRESENCIAL";"DESLIGAMENTO";8
2004;1;"MARIANA";"INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS";"LETRAS-LET";"";"PRESENCIAL";"NRM";13
2004;1;"MARIANA";"INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS";"LETRAS-LET";"";"PRESENCIAL";"TRANSFERENCIA";1
2004;1;"OURO PRETO";"CENTRO DE EDUCACAO ABERTA E A DISTANCIA";"LICENCIATURA EM EDUCACAO BASICA - ANOS INICIAIS-D01";"LICENCIATURA";"DISTANCIA";"CANCELAMENTO";3
2004;1;"OURO PRETO";"CENTRO DE EDUCACAO ABERTA E A DISTANCIA";"LICENCIATURA EM EDUCACAO BASICA - ANOS INICIAIS-D01";"LICENCIATURA";"DISTANCIA";"NRM";34
2004;1;"OURO PRETO";"ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA";"DIREITO-DIR";"BACHARELADO";"PRESENCIAL";"CANCELAMENTO";5
2004;1;"OURO PRETO";"ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA";"DIREITO-DIR";"BACHARELADO";"PRESENCIAL";"DESLIGAMENTO";1
2004;1;"OURO PRETO";"ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA";"DIREITO-DIR";"BACHARELADO";"PRESENCIAL";"NRM";3
2004;1;"OURO PRETO";"ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA";"DIREITO-DIR";"BACHARELADO";"PRESENCIAL";"TRANSFERENCIA";4
2004;1;"OURO PRETO";"ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA";"TURISMO-TUR";"BACHARELADO";"PRESENCIAL";"CANCELAMENTO";2
2004;1;"OURO PRETO";"ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA";"TURISMO-TUR";"BACHARELADO";"PRESENCIAL";"DESLIGAMENTO";1
2004;1;"OURO PRETO";"ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA";"TURISMO-TUR";"BACHARELADO";"PRESENCIAL";"NRM";1
2004;1;"OURO PRETO";"ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA";"TURISMO-TUR";"BACHARELADO";"PRESENCIAL";"TRANSFERENCIA";1
2004;1;"OURO PRETO";"ESCOLA DE FARMACIA";"FARMACIA-FAR";"BACHARELADO";"PRESENCIAL";"CANCELAMENTO";6
2004;1;"OURO PRETO";"ESCOLA DE FARMACIA";"FARMACIA-FAR";"BACHARELADO";"PRESENCIAL";"DESLIGAMENTO";5
2004;1;"OURO PRETO";"ESCOLA DE FARMACIA";"FARMACIA-FAR";"BACHARELADO";"PRESENCIAL";"JUBILAMENTO";1
2004;1;"OURO PRETO";"ESCOLA DE FARMACIA";"FARMACIA-FAR";"BACHARELADO";"PRESENCIAL";"NRM";3
2004;1;"OURO PRETO";"ESCOLA DE FARMACIA";"FARMACIA-FAR";"BACHARELADO";"PRESENCIAL";"TRANSFERENCIA";2
2004;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA AMBIENTAL-AMB";"BACHARELADO";"PRESENCIAL";"CANCELAMENTO";1
2004;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA AMBIENTAL-AMB";"BACHARELADO";"PRESENCIAL";"NRM";2
2004;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA CIVIL-CIV";"BACHARELADO";"PRESENCIAL";"CANCELAMENTO";6
2004;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA CIVIL-CIV";"BACHARELADO";"PRESENCIAL";"DESLIGAMENTO";5
2004;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA CIVIL-CIV";"BACHARELADO";"PRESENCIAL";"NRM";2
2004;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA CIVIL-CIV";"BACHARELADO";"PRESENCIAL";"TRANSFERENCIA";4
2004;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA DE CONTROLE E AUTOMACAO-AUT";"BACHARELADO";"PRESENCIAL";"CANCELAMENTO";3
2004;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA DE CONTROLE E AUTOMACAO-AUT";"BACHARELADO";"PRESENCIAL";"TRANSFERENCIA";2
2004;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA DE MINAS-MIN";"BACHARELADO";"PRESENCIAL";"CANCELAMENTO";1
2004;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA DE MINAS-MIN";"BACHARELADO";"PRESENCIAL";"DESLIGAMENTO";5
2004;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA DE MINAS-MIN";"BACHARELADO";"PRESENCIAL";"NRM";1
