Ano;Semestre;Campus;Unidade Acadêmica;Curso;Modalidade;Formato;Tipo Evasão;Alunos
2018;1;JOÃO MONLEVADE;INSTITUTO DE CIENCIAS EXATAS E APLICADAS;SISTEMAS DE INFORMACAO-SJM;BACHARELADO;PRESENCIAL;DESLIGAMENTO;5
2018;1;OURO PRETO;ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA;TURISMO-TUR;BACHARELADO;PRESENCIAL;DESLIGAMENTO;2
2018;1;OURO PRETO;CENTRO DE EDUCACAO ABERTA E A DISTANCIA;ADMINISTRACAO PUBLICA-D06;BACHARELADO;DISTANCIA;DESLIGAMENTO POR PRAZO MÁXIMO;12
2018;1;OURO PRETO;CENTRO DE EDUCACAO ABERTA E A DISTANCIA;GEOGRAFIA-D07;LICENCIATURA;DISTANCIA;DESLIGAMENTO POR PRAZO MÁXIMO;3
2018;1;OURO PRETO;CENTRO DE EDUCACAO ABERTA E A DISTANCIA;MATEMATICA-D05;LICENCIATURA;DISTANCIA;DESLIGAMENTO POR PRAZO MÁXIMO;2
2018;1;OURO PRETO;CENTRO DE EDUCACAO ABERTA E A DISTANCIA;PEDAGOGIA-D04;LICENCIATURA;DISTANCIA;DESLIGAMENTO POR PRAZO MÁXIMO;6
2018;1;OURO PRETO;ESCOLA DE MINAS;ARQUITETURA E URBANISMO-ARQ;BACHARELADO;PRESENCIAL;DESLIGAMENTO POR PRAZO MÁXIMO;1
2018;1;OURO PRETO;ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA;DIREITO-DIR;BACHARELADO;PRESENCIAL;DESLIGAMENTO POR PRAZO MÁXIMO;1
2018;1;OURO PRETO;REITORIA;EDUCACAO FISICA-EFB;BACHARELADO;PRESENCIAL;DESLIGAMENTO POR PRAZO MÁXIMO;2
2018;1;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA AMBIENTAL-AMB;BACHARELADO;PRESENCIAL;DESLIGAMENTO POR PRAZO MÁXIMO;1
2018;1;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA DE CONTROLE E AUTOMACAO-AUT;BACHARELADO;PRESENCIAL;DESLIGAMENTO POR PRAZO MÁXIMO;1
2018;1;JOÃO MONLEVADE;INSTITUTO DE CIENCIAS EXATAS E APLICADAS;ENGENHARIA DE PRODUCAO-PJM;BACHARELADO;PRESENCIAL;DESLIGAMENTO POR PRAZO MÁXIMO;1
2018;1;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA DE PRODUCAO-PRO;BACHARELADO;PRESENCIAL;DESLIGAMENTO POR PRAZO MÁXIMO;1
2018;1;JOÃO MONLEVADE;INSTITUTO DE CIENCIAS EXATAS E APLICADAS;ENGENHARIA ELETRICA-EJM;BACHARELADO;PRESENCIAL;DESLIGAMENTO POR PRAZO MÁXIMO;1
2018;1;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA METALURGICA-MET;BACHARELADO;PRESENCIAL;DESLIGAMENTO POR PRAZO MÁXIMO;2
2018;1;MARIANA;INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS;LETRAS-LTB;BACHARELADO;PRESENCIAL;DESLIGAMENTO POR PRAZO MÁXIMO;1
2018;1;MARIANA;INSTITUTO DE CIENCIAS HUMANAS E SOCIAIS;LETRAS-LTL;LICENCIATURA;PRESENCIAL;DESLIGAMENTO POR PRAZO MÁXIMO;1
2018;1;OURO PRETO;ESCOLA DE NUTRICAO;NUTRICAO-NUT;BACHARELADO;PRESENCIAL;DESLIGAMENTO POR PRAZO MÁXIMO;1
2018;1;JOÃO MONLEVADE;INSTITUTO DE CIENCIAS EXATAS E APLICADAS;SISTEMAS DE INFORMACAO-SJM;BACHARELADO;PRESENCIAL;DESLIGAMENTO POR PRAZO MÁXIMO;1
2018;1;OURO PRETO;ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA;TURISMO-TUR;BACHARELADO;PRESENCIAL;DESLIGAMENTO POR PRAZO MÁXIMO;1
2018;1;OURO PRETO;CENTRO DE EDUCACAO ABERTA E A DISTANCIA;ADMINISTRACAO: ADMINISTRACAO PUBLICA-D03;BACHARELADO;DISTANCIA;NRM;2
2018;1;OURO PRETO;CENTRO DE EDUCACAO ABERTA E A DISTANCIA;ADMINISTRACAO PUBLICA-D06;BACHARELADO;DISTANCIA;NRM;18
2018;1;OURO PRETO;CENTRO DE EDUCACAO ABERTA E A DISTANCIA;GEOGRAFIA-D07;LICENCIATURA;DISTANCIA;NRM;2
2018;1;OURO PRETO;CENTRO DE EDUCACAO ABERTA E A DISTANCIA;MATEMATICA-D05;LICENCIATURA;DISTANCIA;NRM;9
2018;1;OURO PRETO;CENTRO DE EDUCACAO ABERTA E A DISTANCIA;PEDAGOGIA-D04;LICENCIATURA;DISTANCIA;NRM;56
2018;1;MARIANA;INSTITUTO DE CIENCIAS SOCIAIS APLICADAS;ADMINISTRACAO-ADM;BACHARELADO;PRESENCIAL;NRM;7
2018;1;OURO PRETO;ESCOLA DE MINAS;ARQUITETURA E URBANISMO-ARQ;BACHARELADO;PRESENCIAL;NRM;1
2018;1;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;CIENCIA DA COMPUTACAO-COM;BACHARELADO;PRESENCIAL;NRM;6
2018;1;OURO PRETO;ESCOLA DE NUTRICAO;CIENCIA E TECNOLOGIA DE ALIMENTOS-ALI;BACHARELADO;PRESENCIAL;NRM;2
2018;1;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;CIENCIAS BIOLOGICAS-CBB;BACHARELADO;PRESENCIAL;NRM;1
2018;1;OURO PRETO;INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS;CIENCIAS BIOLOGICAS-CBL;LICENCIATURA;PRESENCIAL;NRM;4
2018;1;MARIANA;INSTITUTO DE CIENCIAS SOCIAIS APLICADAS;CIENCIAS ECONOMICAS-ECO;BACHARELADO;PRESENCIAL;NRM;9
2018;1;OURO PRETO;ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA;DIREITO-DIR;BACHARELADO;PRESENCIAL;NRM;1
2018;1;OURO PRETO;REITORIA;EDUCACAO FISICA-EFB;BACHARELADO;PRESENCIAL;NRM;2
2018;1;OURO PRETO;REITORIA;EDUCACAO FISICA-EFL;LICENCIATURA;PRESENCIAL;NRM;6
2018;1;OURO PRETO;ESCOLA DE MINAS;ENGENHARIA AMBIENTAL-AMB;BACHARELADO;PRESENCIAL;NRM;4
